gene	P1_epi1	P1_epi2	P1_epi3	P1_fiber1	P1_fiber2	P1_fiber3	E18_epi1	E18_epi2	E18_epi3	E18_fiber1	E18_fiber2	E18_fiber3	E16_epi1	E16_epi2	E16_epi3	E16_fiber1	E16_fiber2	E16_fiber3	E14_epi1	E14_epi2	E14_epi3	E14_fiber1	E14_fiber2	E14_fiber3
Gatad2a	18.2507	19.0703	19.5064	183.075	161.587	139.985	20.9918	18.6159	16.4946	175.873	174.33	152.666	22.761	25.5324	24.5425	96.8902	94.3435	116.216	24.6757	24.6584	27.0333	50.014	54.8731	47.7221
Gatad2b	23.288	21.673	20.729	24.1475	25.9587	24.7133	19.607	22.5519	19.081	26.2326	20.6942	23.1148	21.2021	22.1493	22.9542	20.4354	21.1133	24.3049	18.546	19.7325	19.6669	19.6604	21.5474	19.4012
Gatb	3.51835	2.96279	3.6047	3.87386	4.4676	4.99889	3.02422	2.93337	2.7718	4.80304	4.60253	3.95521	3.62499	3.7713	3.63304	5.21203	4.99848	4.75612	3.93843	3.26339	4.06471	5.06133	6.04671	5.28973
Gatc	8.1126	7.94172	8.94088	13.3455	12.2525	12.6355	9.51451	9.01759	9.31922	12.7322	12.5963	13.1922	8.90328	9.68666	9.28552	13.2906	10.873	10.5212	9.37145	8.41233	9.74294	12.2233	10.7775	10.3155
Gatm	1.86362	1.79396	1.79729	0.27411	0.443137	0.0895903	1.52209	1.78609	1.5819	0.288726	0.403338	0.259728	1.56891	1.62784	1.8266	0.488535	0.256922	0.29028	1.24239	1.47253	0.910915	0.329353	0.34214	0.114743
Gatsl2	5.58379	5.02956	4.35826	2.11687	2.52897	2.10138	5.4531	4.56724	5.57203	3.05013	2.49732	2.74161	4.04115	5.19186	5.27012	2.9076	2.44682	3.11331	4.53409	5.87558	4.771	3.11697	3.19206	3.98484
Gatsl3	1.12447	1.58278	1.22506	0.885159	0.767405	1.22072	1.03406	1.19279	1.35938	0.923555	1.02284	0.675643	0.413997	0.516814	1.05471	0.5272	0.964731	0.643586	0.508636	0.448975	0.529374	0.293023	0.418917	0.373966
Gba	10.1518	11.0789	12.2559	23.7814	21.8896	21.1735	10.3807	10.1886	11.0025	25.7644	24.1613	23.5078	12.6311	10.8332	10.8602	25.6964	25.1902	23.3141	10.162	8.63474	10.0721	22.5594	25.8658	24.9972
Gba2	6.02601	5.76436	6.05602	5.29076	5.75963	5.47005	6.18262	6.39555	5.79703	5.39371	6.11865	6.00401	7.79938	6.92102	8.00438	6.64324	6.40393	6.752	8.42434	7.62395	8.43821	8.33083	8.03848	8.81187
Gbas	22.0673	20.1165	19.5718	36.8962	31.0259	28.3672	18.2767	18.3598	19.7665	25.755	25.9154	25.793	17.7574	18.809	17.59	26.9513	24.1683	29.0396	16.943	19.0944	19.2353	27.1686	31.3449	27.5407
Gbe1	8.47567	7.66278	5.74586	10.8215	10.2136	9.14324	7.76424	8.25718	9.33162	9.80259	10.5761	9.66893	6.7141	6.46214	6.51333	11.102	11.6035	11.1689	7.23675	4.96322	5.18388	13.432	13.1369	11.0216
Gbf1	22.3122	23.6541	26.0676	42.0212	41.6924	44.1513	27.0044	23.2179	23.9831	48.8991	46.9503	45.8068	30.5292	34.5275	34.0597	48.5766	48.6008	53.4636	33.2076	36.1775	36.3192	47.0836	47.911	49.5049
