gene	group1	group3	group4	group5	na_count
Eif4a1	RBP	NA	NA	NA	3
Eif4a2	RBP	NA	NA	NA	3
Eif4a3	RBP	NA	NA	NA	3
Tial1	RBP	mRNA binding	NA	NA	2
Exosc4	RBP	mRNA binding	NA	NA	2
Nudt21	RBP	mRNA binding	NA	NA	2
Park7	RBP	mRNA binding	Stress response	NA	1
Apex1	RBP	mRNA binding	Stress response	NA	1
Rps3	RBP	mRNA binding	Stress response	NA	1
Upf1	RBP	mRNA binding	Stress response	NA	1
Hnrnpm	RBP	mRNA binding	Stress response	NA	1
Ncl	RBP	mRNA binding	Stress response	NA	1
Pabpn1	RBP	mRNA binding	Stress response	NA	1
Prpf8	RBP	mRNA binding	Stress response	NA	1
Rbm3	RBP	mRNA binding	Stress response	NA	1
Cirbp	RBP	mRNA binding	Stress response	NA	1
Dhx9	RBP	mRNA binding	mRNA stability	NA	1
Csde1	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpu	RBP	mRNA binding	mRNA stability	NA	1
Syncrip	RBP	mRNA binding	mRNA stability	NA	1
Ybx1	RBP	mRNA binding	mRNA stability	NA	1
Ddx6	RBP	mRNA binding	mRNA sequestration	NA	1
Dis3l2	RBP	mRNA binding	mRNA sequestration	NA	1
Lsm2	RBP	mRNA binding	mRNA sequestration	NA	1
Lsm3	RBP	mRNA binding	mRNA sequestration	NA	1
Carhsp1	RBP	mRNA binding	mRNA sequestration	NA	1
Caprin1	RBP	mRNA binding	mRNA sequestration	NA	1
Eif4e	RBP	mRNA binding	mRNA sequestration	NA	1
Ddx3x	RBP	mRNA binding	mRNA sequestration	NA	1
Dhx9	RBP	mRNA binding	mRNA sequestration	NA	1
Fmr1	RBP	mRNA binding	mRNA sequestration	NA	1
Hnrnpu	RBP	mRNA binding	mRNA sequestration	NA	1
Ncl	RBP	mRNA binding	mRNA sequestration	NA	1
Pabpc1	RBP	mRNA binding	mRNA sequestration	NA	1
Rps4x	RBP	mRNA binding	mRNA sequestration	NA	1
Ddx1	RBP	mRNA binding	mRNA sequestration	NA	1
G3bp1	RBP	mRNA binding	mRNA sequestration	NA	1
Khsrp	RBP	mRNA binding	mRNA sequestration	NA	1
Larp4b	RBP	mRNA binding	mRNA sequestration	NA	1
Tial1	RBP	mRNA binding	mRNA sequestration	NA	1
Ybx1	RBP	mRNA binding	mRNA sequestration	NA	1
Cirbp	RBP	mRNA binding	mRNA sequestration	NA	1
Eif2s1	RBP	mRNA binding	mRNA sequestration	NA	1
Igf2bp1	RBP	mRNA binding	mRNA sequestration	NA	1
Eif4b	RBP	mRNA binding	Translation	NA	1
Eif4h	RBP	mRNA binding	Translation	NA	1
Rpl22	RBP	mRNA binding	Translation	NA	1
Rpl7	RBP	mRNA binding	Translation	NA	1
Rpl8	RBP	mRNA binding	Translation	NA	1
Nhp2l1	RBP	mRNA binding	Translation	ribosome	0
Nhp2	RBP	mRNA binding	Translation	ribosome	0
Rpl12	RBP	mRNA binding	Translation	ribosome	0
Rpl22	RBP	mRNA binding	Translation	ribosome	0
Rpl5	RBP	mRNA binding	Translation	ribosome	0
Rpl7	RBP	mRNA binding	Translation	ribosome	0
Rpl8	RBP	mRNA binding	Translation	ribosome	0
Ddx3x	RBP	mRNA binding	Translation	ribosome	0
Rps11	RBP	mRNA binding	Translation	ribosome	0
Rps3	RBP	mRNA binding	Translation	ribosome	0
Rps4x	RBP	mRNA binding	Translation	ribosome	0
Rps9	RBP	mRNA binding	Translation	ribosome	0
Elavl1	RBP	NA	NA	NA	3
Prkra	RBP	NA	NA	NA	3
Eif5a	RBP	mRNA binding	Translation	NA	1
Eif3a	RBP	mRNA binding	Translation	translational initiation	0
Eif3b	RBP	mRNA binding	Translation	translational initiation	0
Eif3d	RBP	mRNA binding	Translation	translational initiation	0
Eif3g	RBP	mRNA binding	Translation	translational initiation	0
Eif3a	RBP	mRNA binding	Translation	translational regulation	0
Eif3b	RBP	mRNA binding	Translation	translational regulation	0
Eif3d	RBP	mRNA binding	Translation	translational regulation	0
Eif3g	RBP	mRNA binding	Translation	translational regulation	0
Eif2s1	RBP	mRNA binding	Translation	translational initiation	0
Eif2s1	RBP	mRNA binding	Translation	translational regulation	0
Ddx3x	RBP	mRNA binding	Translation	translational initiation	0
Ddx3x	RBP	mRNA binding	Translation	translational regulation	0
Eif4g1	RBP	mRNA binding	Translation	translational initiation	0
Eif4b	RBP	mRNA binding	Translation	translational initiation	0
Eif4e	RBP	mRNA binding	Translation	translational initiation	0
Eif4h	RBP	mRNA binding	Translation	translational initiation	0
Eif4g1	RBP	mRNA binding	Translation	translational regulation	0
Eif4b	RBP	mRNA binding	Translation	translational regulation	0
Eif4e	RBP	mRNA binding	Translation	translational regulation	0
Eif4h	RBP	mRNA binding	Translation	translational regulation	0
Exosc6	RBP	mRNA binding	mRNA sequestration	NA	1
Exosc3	RBP	mRNA binding	mRNA sequestration	NA	1
Eif4a2	RBP	mRNA binding	Translation	translational initiation	0
Eif4g3	RBP	mRNA binding	Translation	translational initiation	0
Eif4a1	RBP	mRNA binding	Translation	translational initiation	0
Ssb	RBP	mRNA binding	Translation	translational initiation	0
Pcbp2	RBP	mRNA binding	Translation	translational initiation	0
Ptbp1	RBP	mRNA binding	Translation	translational initiation	0
Ssb	RBP	mRNA binding	Translation	translational regulation	0
Pcbp2	RBP	mRNA binding	Translation	translational regulation	0
Ptbp1	RBP	mRNA binding	Translation	translational regulation	0
Tnrc6b	RBP	NA	NA	NA	3
Dis3l2	RBP	NA	NA	NA	3
Celf1	RBP	mRNA binding	NA	NA	2
Fxr1	RBP	mRNA binding	NA	NA	2
G3bp1	RBP	mRNA binding	NA	NA	2
G3bp2	RBP	mRNA binding	NA	NA	2
Park7	RBP	mRNA binding	NA	NA	2
Rbm38	RBP	mRNA binding	NA	NA	2
Rbm8a	RBP	mRNA binding	NA	NA	2
Rbmx	RBP	mRNA binding	NA	NA	2
Ybx1	RBP	mRNA binding	NA	NA	2
Cstf2t	RBP	mRNA binding	NA	NA	2
Eif3a	RBP	mRNA binding	NA	NA	2
Eif4a3	RBP	mRNA binding	NA	NA	2
Xpo5	RBP	mRNA binding	NA	NA	2
Fmr1	RBP	mRNA binding	NA	NA	2
Hnrnpa1	RBP	mRNA binding	NA	NA	2
Hnrnpa3	RBP	mRNA binding	NA	NA	2
Hnrnpc	RBP	mRNA binding	NA	NA	2
Hnrnpll	RBP	mRNA binding	NA	NA	2
Nxf1	RBP	mRNA binding	NA	NA	2
Ncbp2	RBP	mRNA binding	NA	NA	2
Pabpc1	RBP	mRNA binding	NA	NA	2
Pcbp1	RBP	mRNA binding	NA	NA	2
Ptbp1	RBP	mRNA binding	NA	NA	2
